TELMEX/SISA Sistema de Búsqueda y Consultas 01/07/13 11:37:11| BELTRAN JESUS OMAR DSFS
Folio|Referencia Servicio|Desc. Articulo|Alcance|Ent. ACO|Cliente|F.Due Date|Fase|Edo|T.P.|F.Edo|F.de Liberación|Contrato|Criticidad|Tipo de Enl|Prioritario|
1386990|TKS-1305-0410|Troncales Digitales 64k|Local|ACOSUR|INTERNACIONAL FARMACEUTICA|05/07/13|ALT|PPC|ALT|10/06/13|22/05/13 07:31|TX-1305-3310||Principal||
1387062|TKS-1305-0417|Troncales Digitales 64k|Local|ACOSUR|AZUL CONCRETOS Y PREMEZCLADOS S.A. DE C.V.|28/06/13|ALT|ERP|ALT|26/06/13|24/05/13 11:47|TX-1305-3359||Principal||
1387370|C01-1305-0059|Le Carrier Fast Ethernet 10m Local|Local|ACOPTE|UNINET|02/07/13|ALT|LEA|ALT|26/06/13|03/06/13 10:58|TX-1305-3572|4 |||
1387380|TKS-1305-0443|Troncales Digitales 64k|Local|ACOSUR|FUNDACION CASA ALIANZA MEXICO I.A.P.|10/07/13|ALT|PPU|ALT|18/06/13|24/05/13 15:14|TX-1305-3579||Principal||
1387471|TKS-1305-0450|Troncales Digitales 64k|Local|ACOSUR|SENSTARS STELLAR LATIN AMERICA|27/06/13|ALT|PPC|ALT|24/06/13|23/05/13 11:27|TX-1305-3650||Principal||
1387484|TKS-1305-0456|Troncales Digitales 64k|Local|ACOPTE|FRAGANCIAS Y SABORES RUBI S.A. DE C.V.|05/07/13|ALT|PPU|CNG|25/06/13|23/05/13 11:49|TX-1303-1355-1||Principal||
1387536|C01-1305-0062|Le Carrier Fast Ethernet 10m Local|Local|ACOPTE|UNINET|27/07/13|ALT|ECO|ALT|26/06/13|23/05/13 12:42|TX-1305-3687|4 |||
1387538|DID-1305-0368|Serv. De Acceso Directo A Ext.|Local|ACOOTE|CEICA PLASTICOS DE MEXICO, S.A. DE C.V.|06/07/13|ALT|PPU|ALT|21/06/13|23/05/13 12:53|TX-1305-3683||Principal||
1387706|TKS-1305-0477|Troncales Digitales 64k|Local|ACOSUR|AZUL CONCRETOS Y PREMEZCLADOS S.A. DE C.V.|28/06/13|ALT|ERP|ALT|26/06/13|24/05/13 11:47|TX-1305-3359||Principal||
1387771|DID-1305-0385|Serv. De Acceso Directo A Ext.|Local|ACOSUR|AZUL CONCRETOS Y PREMEZCLADOS S.A. DE C.V.|02/07/13|ALT|PPU|ALT|26/06/13|24/05/13 11:47|TX-1305-3359||Principal||
1388093|LD1-1305-0069|Lada Directo Gratuito|Local|ACOOTE|ORGANISMO PUB DESC C PLA PREST SERV AGUA POT ALCAN Y SANAMIE NO LLEVA ESTADO JURIDICO|02/07/13|ALT|PPU|ALT|27/06/13|24/05/13 14:23|TX-1305-3966||||
1388094|DID-1305-0398|Serv. De Acceso Directo A Ext.|Local|ACOOTE|ORGANISMO PUB DESC C PLA PREST SERV AGUA POT ALCAN Y SANAMIE NO LLEVA ESTADO JURIDICO|02/07/13|ALT|PPU|ALT|27/06/13|24/05/13 14:24|TX-1305-3966||Principal||
1388102|TKS-1305-0638|Troncales Digitales 64k|Local|ACOOTE|ORGANISMO PUB DESC C PLA PREST SERV AGUA POT ALCAN Y SANAMIE NO LLEVA ESTADO JURIDICO|02/07/13|ALT|PPU|ALT|27/06/13|24/05/13 14:24|TX-1305-3966||Principal||
1388296|D32-1305-0750|Ladaenlace 2M-G703 Local|Local|ACOOTE|UNINET|16/06/13|ALT|ESA|CD1|28/06/13|27/05/13 10:55|TX-1003-4434-3|4 |Principal||
1388622|DID-1305-0448|Serv. De Acceso Directo A Ext.|Local|ACOSUR|FUNDACION CASA ALIANZA MEXICO I.A.P.|14/07/13|ALT|PPU|ALT|22/06/13|28/05/13 10:10|TX-1305-3579-1||Principal||
1388720|TKS-1305-0707|Troncales Digitales 64k|Local|ACOSUR|ADMINISTRADORA GCP S.C.|11/07/13|ALT|PPU|ALT|25/06/13|28/05/13 13:35|TX-1305-4328||Principal||
1388722|DID-1305-0471|Serv. De Acceso Directo A Ext.|Local|ACOSUR|ADMINISTRADORA GCP S.C.|11/07/13|ALT|PPU|ALT|25/06/13|28/05/13 13:35|TX-1305-4328||Principal||
1388747|A32-1305-0600|Ladaenlace 2m V35 Local|Local|ACOOTE|UNINET|26/07/13|ALT|PPU|ALT|22/06/13|28/05/13 14:48|TX-1305-4345|4 |Principal||
1389100|TKS-1305-0748|Troncales Digitales 64k|Local|ACOPTE|MUNICIPIO DE TLALNEPANTLA DE BAZ|08/07/13|ALT|ERP|ALT|14/06/13|31/05/13 15:36|TX-1305-4581||Principal||
